Title,Type,Level,Publisher,Tag,Price(GHC),Image
History of Ghana basic 6,Textbook,Primary ,Perfect Series,,70,/Primary and Jhs/Perfect/IMG_0296
Mathematics basic 2,Textbook,Primary ,Potosky Series,,70,/Primary and Jhs/Potosky Series/IMG_1603
Asante Twi Nyansap) 1,Textbook,Primary ,Premsco Series ,,60,/Primary and Jhs/Premsco Series_/IMG_1733
Simple Science Learner's book 2,Textbook,Primary ,Prof & Figurs Series,,60,/Primary and Jhs/Simple/IMG_0171
Simple Science Learner's book 6,Textbook,Primary ,Prof & Figurs Series,,60,/Primary and Jhs/Simple/IMG_0172
Simple Mathematics basic 1,Textbook,Primary ,Prof & Figurs Series,,60,/Primary and jhs/Simple/IMG_0395
Simple Mathematics basic 5,Textbook,Primary ,Prof & Figurs Series,,60,/Primary and jhs/Simple/IMG_0398
Creative Arts book 4,Textbook,Primary ,Victory Series,,60,/Primary and Jhs/Vestel Series_/Victory/IMG_1808
"Mpanyin Ka Bi A, Tie (lang & Grammar)",Textbook,Primary ,Kwadwoan Publishing ,,,/Primary and Jhs/vestel Series_/Mpanyin Series_/IMG_1844
"Mpanyin Ka Bi A, Tie (amanne3 Ne w)n Amammer3",Textbook,Primary ,Kwadwoan Publishing ,,,/Primary and Jhs/vestel Series_/Mpanyin Series_/IMG_1845
"Mpanyin Ka Bi A, Tie (Reading, Comprehension And Poetry)",Textbook,Primary ,Kwadwoan Publishing ,,,/Primary and Jhs/vestel Series_/Mpanyin Series_/IMG_1846
"Mpanyin Ka Bi A, Tie (Literature)",Textbook,Primary ,Kwadwoan Publishing ,,,/Primary and Jhs/vestel Series_/Mpanyin Series_/IMG_1847
Twi Adesua Ne Dwumadi Nhoma Bi(Akuapem Twi),Textbook,Primary ,Bedozer Series,,60,/SecSchool/Bedozer Series 2/IMG_1726
Mathematics ,Textbook,Primary ,Calculus Series,,65,/SecSchool/Calculus/IMG_0967
Twi Adesua Ne Dwumadi Nhoma Bi(Akuapem Twi),Textbook,Primary ,Bedozer Series,,60,/SecSchool/Bedozer Series 2/IMG_1725
Mathematics ,Textbook,Primary ,Calculus Series,,65,/SecSchool/Calculus/IMG_0968
Twi Adesua Ne Dwumadi Nhoma Bi(Akuapem Twi),Textbook,Primary ,Bedozer Series,,60,/SecSchool/Bedozer Series 2/IMG_1723
Mathematics ,Textbook,Primary ,Calculus Series,,65,/SecSchool/Calculus/IMG_0971
Twi Adesua Ne Dwumadi Nhoma Bi(Akuapem Twi),Textbook,Primary ,Bedozer Series,,60,/SecSchool/Bedozer Series 2IMG_1727
Twi Adesua Ne Dwumadi Nhoma Bi(Akuapem Twi),Textbook,Primary ,Bedozer Series,,60,/SecSchool/Bedozer Series 2/IMG_1724
Mathematics ,Textbook,Primary ,Calculus Series,,65,/SecSchool/Calculus/IMG_0970
Twi Adesua Ne Dwumadie Nwoma Bi(Asante Twi),Textbook,Primary ,Bedozer Series,,60,/SecSchool/Bedozer Series 2/IMG_1722
Mathematics ,Textbook,Primary ,Calculus Series,,65,/SecSchool/Calculus/IMG_0969
Management in Living,Textbook,Colleges,Adwinsa Publications (Gh) Ltd,,150,/SecSchool/MIL_FN/IMG_0949
Mathematics Vol 2,Textbook,Colleges,Baffour-Ba Series,,150,/SecSchool/Core Math/IMG_1916
Mathematics Vol 1,Textbook,Colleges,Baffour-Ba Series,,150,/SecSchool/Core Math/IMG_1917
Food and Nutrition ,Textbook,Colleges,Ghana Universities Press,,150,/SecSchool/MIL_FN/IMG_0952
Building Construction,Textbook,Colleges,Heritage Series,,120,/SecSchool/Visual Art/IMG_0942
Learn to Design: Graphic Design ,Textbook,Colleges,PreCARD,,100,/SecSchool/Visual Art/IMG_0947
BookWorm Food and Nutrition,Textbook,Colleges,"St. George Consultants Limited, Lagos.",,100,/SecSchool/MIL_FN/IMG_0953
Clothing & Texttiles,Textbook,Senior High School,Winmat Publishers Limited,,200,/SecSchool/MIL_FN/IMG_0950
College Biology,Textbook,Senior High School,A1 Series,,250,/SecSchool/Biology/IMG_0897
Step-by-step Financial Accounting,Textbook,Senior High School,Ter-ror Series,,100,/SecSchool/Accounting/IMG_1952
Chemistry,Activity Book ,Senior High School,Hopeson's Series,,200,/SecSchool/Chemistry/IMG_0878
Conquering Senior High School Physics SHS1,Textbook,Senior High School,Adwinsa Publications (Gh) Ltd,,200,/SecSchool/Physics/IMG_0891
Standard Economics,Textbook,Senior High School,Aki-Ola Series,,150,/SecSchool/Economics/IMG_1957
Physics,Textbook,Senior High School,Aki-Ola Series,,150,/SecSchool/Physics/IMG_0890
Core Information and Communications Technology(ICT),Textbook,Senior High School,Aki-Ola Series,,150,/SecSchool/ Shs IT/IMG_1912
"Biology, WASSCE, New Mega 1",Textbook,Senior High School,Anointing Mega,,120,/SecSchool/Biology/IMG_0899
"Practical Biology, WASSCE, Mega 3",Textbook,Senior High School,Anointing Mega,,150,/SecSchool/Biology/IMG_0900
"Biology, WASSCE, Mega 2",Textbook,Senior High School,Anointing Mega,,120,/SecSchool/Biology/IMG_0901
Roots of Economics ,Textbook,Senior High School,Approacher's Series,,150,/SecSchool/Economics/IMG_1959
Physics: Waves Phenomena Electricity & Magnetism Atomic & Nuclear Physics Electronics Book 2,Textbook,Senior High School,Atta Kay Physics Series,,100,/SecSchool/Physics/IMG_0893
Physics: Comprehensive Notes on Mechanics and Heat,Textbook,Senior High School,Atta Kay Physics Series,,100,/SecSchool/Physics/IMG_0894
Geography,Textbook,Senior High School,Concern Series,,150,/SecSchool/Geography/IMG_0938
Concise General Mathematics,Textbook,Senior High School,Concise Series,,180,/SecSchool/Core Math/IMG_1920
Geography,Textbook,Senior High School,Easy  Way A1,,200,/SecSchool/Geography/IMG_0930
Excellence Geography,Textbook,Senior High School,Excellence Series Publishing ,,200,/SecSchool/Geography/IMG_0937
Excellence English Language ,Textbook,Senior High School,Excellence Series Publishing ,,200,/SecSchool/shs English/IMG_1924
Excellence ICT (Information and Communications Technology),Textbook,Senior High School,Excellence Series Publishing ,,200,/SecSchool/ Shs IT/IMG_1913
English Language ,Textbook,Senior High School,Gap Series,,200,/SecSchool/shs English/IMG_1928
Geography ,Textbook,Senior High School,Geo-Geo Series,,200,/SecSchool/Geography/IMG_0940
English SHS 1,Textbook,Senior High School,Geo-Geo Series,,100,/SecSchool/shs English/IMG_1926
Computing SHS 1,Textbook,Senior High School,Geo-Geo Series,,100,/SecSchool/ Shs IT/IMG_1911
"Information, Communications Technology(ICT)",Textbook,Senior High School,Geo-Geo Series,,200,/SecSchool/ Shs IT/IMG_1914
English Language,Textbook,Senior High School,Global Series,,150,/SecSchool/shs English/IMG_1925
Physics 1,Textbook,Senior High School,Hopeson's Series,,200,/SecSchool/Physics/IMG_0892
Human & Regional Geography,Textbook,Senior High School,Hot Series,,150,/SecSchool/Geography/IMG_0932
Understanding Geography: Physical and Practical Geography,Textbook,Senior High School,Hot Series,,150,/SecSchool/Geography/IMG_0933
Food and Nutrition,Textbook,Senior High School,Kwadwoan Publishing,,120,/SecSchool/MIL_FN/IMG_0954
English Paper 1,Textbook,Senior High School,Last Hour Series,,100,/SecSchool/shs English/IMG_1921
English Paper 2,Textbook,Senior High School,Last Hour Series,,100,/SecSchool/shs English/IMG_1923
A+ English Language,Textbook,Senior High School,Legends,,150,/SecSchool/shs English/IMG_1922
"Chemistry Unlimited, Ehance Your Chemistry Power",Textbook,Senior High School,Motion Education,,200,/SecSchool/Chemistry/IMG_0881
Simplified Economics,Textbook,Senior High School,Prof & Figures Series,,120,/SecSchool/Economics/IMG_1958
Geography Year 1,Textbook,Senior High School,Right Hour Series,,200,/SecSchool/Geography/IMG_0931
Geography,Textbook,Senior High School,Right Hour Series,,200,/SecSchool/Geography/IMG_0939
Biology,Textbook,Senior High School,Winmat Publishers Limited,,230,/SecSchool/Biology/IMG_0896
Biology,Textbook,Senior High School,Wise Ant,,200,/SecSchool/Biology/IMG_0895
Mathematics,Textbook,Senior High School,Wise Ant,,200,/SecSchool/Core Math/IMG_1918
Physics,Textbook,Senior High School,Wise Ant,,195,/SecSchool/Physics/IMG_0889
English Language,Textbook,Senior High School,Wise Ant,,200,/SecSchool/shs English/IMG_1927
Technical Drawing ,Textbook,Senior High School,Unimax Publishers Limited,,150,/SecSchool/Visual Art/IMG_0941
New Chemistry,Textbook,Senior High School,Aki-Ola Series,,200,/SecSchool/Chemistry/IMG_0884
General Mathematics,Textbook,Senior High School,Akrong Series,,180,/SecSchool/Core Math/IMG_1919
Holistic Economics,Textbook,Senior High School,Approacher's Series,,100,/SecSchool/Economics/IMG_1961
Food and Nutrition Practicals,Textbook,Senior High School,Tesbede Series,,50,/SecSchool/MIL_FN/IMG_0951
Ceramics,Handbook,Senior High School,Kocs Series,,100,/SecSchool/Visual Art/IMG_0943
Graphic Design Lens ,Textbook,Senior High School,Morove Company,,100,/SecSchool/Visual Art/IMG_0948
Understanding Chemistry,Textbook,Senior High School,X-Coco Series,,200,/SecSchool/Chemistry/IMG_0886
Discovering General Knowledge in Art,Textbook,Senior High School,OsBoat-j,,100,/SecSchool/Visual Art/IMG_0944
Accounting,Textbook,Senior High School,Ter-ror Series,,120,/SecSchool/Accounting/IMG_1951
Financial Accounting,Textbook,Senior High School,Aki-Ola Series,,200,/SecSchool/Accounting/IMG_1954
Principles of Cost Accounting,Textbook,Senior High School,Ter-ror Series,,180,/SecSchool/Accounting/IMG_1950
Financial Accounting,Textbook,Senior High School,Ter-ror Series,,200,/SecSchool/Accounting/IMG_1953
ICT(Information and Communications Technology),Textbook,Senior High School,Global Series,,150,/SecSchool/ Shs IT/IMG_1915
General Mathematics 1-3,Textbook,Senior High School,Akrong Series,,200,/primary and  Jhs/Vestel Series_/Core Math/IMG_1919
Concise General Mathematics,Textbook,Senior High School,Akrong Series,,200,/primary and  Jhs/Vestel Series_/Core Math/IMG_1920
Information and Communication Technology,Textbook,Senior High School,Global Series,,150,/Primary and Jhs/Vestel Series_/SHS Computing /IMG_1915
"Mathematics Shs 1,2,3",Textbook,Senior High School,Wise Ant,,200,/primary and  Jhs/Vestel Series_/Core Math/IMG_1918
Biology,Textbook,Senior High School,MOPAC,,150,/SecSchool/Biology/IMG_0898
The Key to A1 Economics,Textbook,Senior High School,Game Changer,,100,/SecSchool/Economics/IMG_1956
Joval Chemistry,Textbook,Senior High School,Joval Publications,,200,/SecSchool/Chemistry/IMG_0880
A Comprehensive Practical Chemistry,Textbook,Senior High School,Kosooko Series,,100,/SecSchool/Chemistry/IMG_0879
The Ultimate Chemistry,Textbook,Senior High School,KOV'S Series,,120,/SecSchool/Chemistry/IMG_0883
Mordern Chemistry,Textbook,Senior High School,SARPS Series,,150,/SecSchool/Chemistry/IMG_0882
The Economics Commandments,Textbook,Senior High School,African Christian Press (ACP),,100,/SecSchool/Economics/IMG_1960
